Brand,Model,CC,Type,Province,Distance,Condition,Price,Age
Yamaha,Fin 115i,110,Underbone,Bangkok,38318,Fair,34100.0,6
Vespa,Sprints,150,Scooter,Chiang Mai,25894,Bad,62500.0,4
Honda,Dream 110,160,Underbone,Phuket,14335,Excellent,34600.0,7
Honda,CBR 150R,125,Sport,Khon Kaen,12217,Bad,25200.0,1
Honda,CBR 150R,300,Sport,Chonburi,34322,Good,31000.0,13
Honda,Dream 110,110,Underbone,Nonthaburi,41700,Broken,25100.0,15
Vespa,Sprints,300,Scooter,Nakhon Ratchasima,24386,Good,68000.0,14
Honda,Wave 110i,150,Underbone,Songkhla,15547,Broken,25500.0,11
Honda,Sonic 125,300,Underbone,Samut Prakan,18675,Fair,31000.0,12
Lambretta,Lambretta X,125,Scooter,Nakhon Pathom,21891,Bad,57200.0,0
Vespa,Sprints,110,Scooter,Udon Thani,32472,Broken,60100.0,10
Suzuki,Raider 150,125,Sport,Surat Thani,23593,Broken,18200.0,14
Suzuki,J Crossover,125,Underbone,Nakhon Si Thammarat,3867,Excellent,29200.0,15
Yamaha,MT-15,155,Sport,Rayong,37678,Bad,30600.0,10
Honda,PCX 160,300,Scooter,Lampang,14937,Excellent,41000.0,12
Yamaha,MT-15,160,Sport,Pattani,16807,Excellent,37600.0,7
Lambretta,Lambretta X,160,Scooter,Ayutthaya,41394,Excellent,64600.0,12
,Smash,300,Underbone,Saraburi,27189,,,13
Honda,Wave 110i,110,Underbone,Trang,39963,Bad,27100.0,0
Honda,CBR 150R,160,Sport,Ratchaburi,43924,Excellent,32600.0,10
Yamaha,Spark 110i,155,Underbone,Phetchaburi,45856,Excellent,39600.0,5
Honda,CBR 150R,160,Sport,Kanchanaburi,46589,Fair,27600.0,7
Yamaha,MT-15,160,Sport,Phetchabun,24925,Excellent,37600.0,11
Honda,CBR 150R,155,Sport,Nakhon Sawan,12110,Fair,27600.0,15
Honda,Wave 125,160,Underbone,Ubon Ratchathani,16202,Bad,27600.0,0
Suzuki,GSX R150,160,Sport,Loei,11401,Bad,20600.0,12
Yamaha,MT-15,110,Sport,Yala,25207,Fair,32100.0,7
Honda,Click 125,110,Scooter,Mae Hong Son,3460,Bad,32100.0,2
Honda,Dream 110,125,Underbone,Pattaya,9133,Good,31200.0,11
Lambretta,Lambretta V,125,Scooter,Tak,18648,Good,61200.0,10
Vespa,GTS,150,Scooter,Chachoengsao,41755,Fair,64500.0,2
Lambretta,Lambretta V,155,Scooter,Chanthaburi,4967,Fair,59600.0,6
Honda,Sonic 125,155,Underbone,Trat,15402,Excellent,34600.0,4
Honda,Dream 110,155,Underbone,Prachuap Khiri Khan,43735,Excellent,34600.0,2
Suzuki,Raider 150,125,Sport,Sukhothai,45311,Good,24200.0,8
Honda,Click 160,300,Scooter,Phitsanulok,39100,Good,38000.0,10
Vespa,GTS,125,Scooter,Phichit,10093,Broken,60200.0,4
Lambretta,Lambretta V,150,Scooter,Nan,7871,Excellent,64500.0,4
Honda,PCX 160,160,Scooter,Phayao,10556,Broken,30600.0,10
Yamaha,YZF-R15,300,Sport,Lamphun,1993,Good,36000.0,2
Suzuki,J Crossover,150,Underbone,Phrae,27797,Fair,24500.0,0
Yamaha,NMax 155,110,Scooter,Chiang Rai,3346,Fair,39100.0,4
Honda,CBR 300R,150,Sport,Nong Khai,30305,Excellent,32500.0,8
Yamaha,XSR155,110,Sport,Mukdahan,20676,Bad,30100.0,10
Suzuki,J Crossover,300,Underbone,Roi Et,28316,Bad,24000.0,3
Honda,Click 125,155,Scooter,Kalasin,23181,Bad,32600.0,4
