Class_Start,Shower_Duration,DressUp_Duration,Prepare_Items_Duration,Transport_Mode_1,Time_1,Wait_1,Transport_Mode_2,Time_2,Wait_2,Transport_Mode_3,Time_3,Wait_3,Total_Commute_Time,Buffer_Time,WakeUp_Time,Start_Shower,Start_DressUp,Start_Prepare_Items,Leave_Home,Arrive_Class
08:00,9.0,13.0,5,Motorbike_Private,21.0,0,Train,7,6.0,None,,0,34,10,06:49,06:49,06:58,07:11,07:16,08:00
08:30,13.0,16.0,8,Bus,,6,None,0,0.0,None,0.0,0,24,5,07:24,07:24,07:37,07:53,08:01,08:30
09:00,,18.0,10,Bus,14.0,5,None,0,0.0,None,0.0,0,19,5,07:58,07:58,08:08,08:26,08:36,09:00
09:30,8.0,12.0,9,Motorbike_Private,11.0,0,Car_Private,11,0.0,None,0.0,0,22,5,08:34,08:34,08:42,08:54,09:03,09:30
08:00,6.0,18.0,6,Car_Private,10.0,0,Motorbike_Private,7,0.0,Train,13.0,4,34,15,06:41,06:41,06:47,07:05,07:11,08:00
09:30,7.0,16.0,5,Motorbike_Private,21.0,0,Motorbike_Private,6,0.0,Car_Private,8.0,0,35,10,08:17,08:17,08:24,08:40,08:45,09:30
08:30,8.0,14.0,5,Train,9.0,3,None,0,0.0,None,0.0,0,12,5,07:46,07:46,07:54,08:08,08:13,08:30
10:00,6.0,18.0,6,Bus,21.0,4,None,0,0.0,None,0.0,0,25,15,08:50,08:50,08:56,09:14,09:20,10:00
08:30,5.0,15.0,6,Walk,23.0,0,None,0,0.0,None,0.0,0,23,5,07:36,07:36,07:41,07:56,08:02,08:30
08:30,10.0,16.0,6,Walk,14.0,0,Car_Private,19,0.0,Motorbike_Private,22.0,0,55,10,06:53,06:53,07:03,07:19,07:25,08:30
09:30,9.0,20.0,7,Walk,14.0,0,Motorbike_Private,18,0.0,None,0.0,0,32,10,08:12,08:12,08:21,08:41,08:48,09:30
08:30,15.0,11.0,8,Car_Private,11.0,0,None,0,,None,0.0,0,11,10,07:35,07:35,07:50,08:01,08:09,08:30
09:00,13.0,16.0,7,Motorbike_Private,22.0,0,Car_Private,23,0.0,None,0.0,0,45,10,07:29,07:29,07:42,07:58,08:05,09:00
09:30,8.0,14.0,8,Car_Private,16.0,0,Car_Private,6,0.0,Bus,14.0,3,39,10,08:11,08:11,08:19,08:33,08:41,09:30
09:00,9.0,17.0,5,Car_Private,20.0,0,Train,25,9.0,Car_Private,13.0,0,67,15,07:07,07:07,07:16,07:33,07:38,09:00
09:00,9.0,12.0,8,Car_Private,21.0,0,Car_Private,7,0.0,Train,9.0,10,47,15,07:29,07:29,07:38,07:50,07:58,09:00
10:00,8.0,17.0,10,Motorbike_Private,17.0,0,Walk,18,,None,0.0,0,35,10,08:40,08:40,08:48,09:05,09:15,10:00
08:00,12.0,20.0,10,Train,25.0,0,Car_Private,11,0.0,Bus,17.0,3,56,5,06:17,06:17,06:29,06:49,06:59,08:00
09:30,5.0,15.0,6,Walk,16.0,0,Motorbike_Private,5,0.0,None,0.0,0,21,15,08:28,08:28,08:33,08:48,08:54,09:30
